Participant,Trial,Self,OtherConfidence,Others,ChoiceRed,correct,RT
101,1,0.6249298409644735,0.99999,0.5,1,0,3542
101,4,0.8749298409644735,0.99999,0.5,1,0,1797
101,5,0.12492984096447346,0.5,0.25,0,1,1910
101,6,0.37492984096447346,0,1e-4,0,1,1747
101,9,0.7499298409644735,0,1e-4,1,0,2048
101,10,0.6249298409644735,0.5,0.25,1,0,2789
101,11,0.37492984096447346,0.99999,0.5,0,0,2265
101,13,0.49992984096447346,0,1e-4,1,0,10239
101,15,0.8749298409644735,0,1e-4,1,0,1786
101,16,0.8749298409644735,0.5,0.75,1,1,1890
101,19,0.12492984096447346,0.5,0.75,0,1,1862
101,21,0.7499298409644735,0.99999,0.25,1,0,2104
101,22,0.49992984096447346,0.5,0.5,1,0,4140
101,24,0.12492984096447346,0,1e-4,0,1,1862
101,25,0.49992984096447346,0,1e-4,0,1,2488
101,28,0.49992984096447346,0.99999,0.75,0,0,6658
101,32,0.8749298409644735,0.5,0.25,1,1,1907
101,34,0.7499298409644735,0,1e-4,1,0,1917
101,36,0.49992984096447346,0.99999,0.25,0,0,4035
101,37,0.24992984096447346,0.99999,0.25,0,0,2010
101,41,0.7499298409644735,0.5,0.5,1,0,2248
101,42,0.24992984096447346,0,1e-4,0,1,1922
101,44,0.6249298409644735,0,1e-4,1,0,3044
101,46,0.37492984096447346,0.5,0.25,0,1,2237
101,47,0.24992984096447346,0,1e-4,0,0,1388
101,49,0.24992984096447346,0.5,0.5,0,1,1441
101,50,0.6249298409644735,0.5,0.25,1,1,1823
101,52,0.12492984096447346,0.5,0.25,0,1,1554
101,56,0.37492984096447346,0,1e-4,0,0,1714
101,57,0.37492984096447346,0.5,0.5,0,0,1700
101,58,0.12492984096447346,0,1e-4,0,1,1597
101,59,0.7499298409644735,0.99999,0.75,1,1,2013
101,61,0.6249298409644735,0.99999,0.5,1,0,1960
101,62,0.49992984096447346,0.99999,0.25,0,1,3330
101,63,0.8749298409644735,0.99999,0.75,1,1,1401
101,65,0.24992984096447346,0.5,0.25,0,0,1574
101,67,0.7499298409644735,0.5,0.25,1,0,1588
101,68,0.12492984096447346,0.5,0.5,0,1,1401
101,71,0.6249298409644735,0.99999,0.75,1,1,2140
101,72,0.6249298409644735,0.99999,0.25,1,0,1590
101,73,0.8749298409644735,0,1e-4,0,1,1667
101,74,0.49992984096447346,0,1e-4,0,1,3080
101,77,0.7499298409644735,0,1e-4,1,0,1425
101,78,0.6249298409644735,0,1e-4,1,0,1847
101,80,0.7499298409644735,0.5,0.75,1,1,1930
101,82,0.8749298409644735,0,1e-4,1,0,2005
101,83,0.24992984096447346,0.99999,0.25,0,1,1480
101,89,0.37492984096447346,0,1e-4,0,1,2320
101,92,0.8749298409644735,0.99999,0.25,1,1,1415
101,95,0.12492984096447346,0.99999,0.75,0,0,1505
101,97,0.37492984096447346,0.99999,0.25,0,0,3039
101,98,0.12492984096447346,0,1e-4,0,1,1566
101,99,0.6249298409644735,0,1e-4,1,0,1684
101,103,0.24992984096447346,0.5,0.75,0,0,1274
101,104,0.24992984096447346,0,1e-4,0,1,2260
101,2,0.12492984096447346,0.5,0.75,0,0,2014
101,3,0.7499298409644735,0.99999,0.75,1,1,1878
101,7,0.24992984096447346,0.5,0.9999,0,0,1903
101,8,0.37492984096447346,0.5,0.75,0,0,2250
101,12,0.49992984096447346,0.5,0.9999,0,0,11413
101,14,0.8749298409644735,0.99999,0.9999,1,1,2309
101,17,0.49992984096447346,0.5,0.5,0,1,6571
101,18,0.37492984096447346,0.5,0.75,0,0,2585
101,20,0.37492984096447346,0.5,0.25,0,1,2187
101,23,0.24992984096447346,0.5,0.5,0,0,1814
101,26,0.12492984096447346,0.99999,0.9999,0,0,2125
101,27,0.24992984096447346,0.5,0.9999,0,1,2941
101,29,0.6249298409644735,0.5,0.75,1,1,3063
101,30,0.7499298409644735,0.5,0.9999,1,1,2021
101,31,0.24992984096447346,0.99999,0.75,0,0,2595
101,33,0.6249298409644735,0.5,0.75,1,1,1983
101,35,0.7499298409644735,0.5,0.5,1,0,1824
101,38,0.8749298409644735,0.5,0.75,1,1,1522
101,39,0.8749298409644735,0.5,0.25,1,0,1503
101,40,0.7499298409644735,0.5,0.9999,1,1,1623
101,43,0.6249298409644735,0.99999,0.9999,1,1,1863
101,45,0.37492984096447346,0.99999,0.9999,0,0,3288
101,48,0.12492984096447346,0.99999,0.5,0,1,1482
101,51,0.49992984096447346,0.5,0.9999,0,0,3268
101,53,0.37492984096447346,0.5,0.9999,0,0,2113
101,54,0.12492984096447346,0.99999,0.5,0,1,1675
101,55,0.49992984096447346,0.5,0.75,0,1,3913
101,60,0.37492984096447346,0.99999,0.5,0,0,1657
101,64,0.8749298409644735,0.5,0.5,1,0,1476
101,66,0.8749298409644735,0.5,0.9999,1,0,1309
101,69,0.12492984096447346,0.99999,0.9999,0,0,1721
101,70,0.24992984096447346,0.99999,0.5,0,0,1732
101,75,0.6249298409644735,0.99999,0.9999,1,1,2264
101,76,0.49992984096447346,0.99999,0.5,0,0,4256
101,79,0.24992984096447346,0.99999,0.9999,0,0,1475
101,81,0.7499298409644735,0.99999,0.9999,1,1,1631
101,84,0.49992984096447346,0.5,0.25,0,0,2587
101,85,0.6249298409644735,0.5,0.9999,1,1,2295
101,86,0.8749298409644735,0.99999,0.9999,1,1,2434
101,87,0.49992984096447346,0.99999,0.9999,0,0,4022
101,88,0.12492984096447346,0.5,0.9999,0,0,2219
101,90,0.7499298409644735,0.99999,0.5,1,1,1590
101,91,0.8749298409644735,0.99999,0.5,1,0,1523
101,93,0.24992984096447346,0.99999,0.75,0,0,1810
101,94,0.6249298409644735,0.5,0.5,1,1,2190
101,96,0.37492984096447346,0.99999,0.9999,0,0,1676
101,100,0.37492984096447346,0.99999,0.75,0,1,1976
101,101,0.49992984096447346,0.99999,0.75,0,0,3532
101,102,0.7499298409644735,0.99999,0.25,1,0,1518
101,105,0.12492984096447346,0.99999,0.25,0,0,1338
103,1,0.6249298409644735,0.99999,0.5,1,0,80165
103,3,0.24992984096447346,0.5,0.5,0,0,272422
103,5,0.7499298409644735,0.99999,0.75,1,1,17394
103,6,0.24992984096447346,0,1e-4,0,1,9158
103,9,0.6249298409644735,0.5,0.75,1,1,55093
103,11,0.8749298409644735,0,1e-4,1,1,17610
103,13,0.49992984096447346,0,1e-4,0,1,8041
103,16,0.6249298409644735,0.5,0.25,1,0,25510
103,17,0.24992984096447346,0.99999,0.25,0,1,4888
103,18,0.6249298409644735,0,1e-4,0,0,23533
103,19,0.37492984096447346,0.99999,0.5,0,0,36928
103,20,0.37492984096447346,0.5,0.25,0,1,8835
103,22,0.12492984096447346,0,1e-4,0,1,2620
103,25,0.49992984096447346,0,1e-4,0,1,8449
103,26,0.37492984096447346,0.5,0.75,1,0,8232
103,27,0.49992984096447346,0.99999,0.75,1,1,3157
103,29,0.49992984096447346,0.5,0.5,1,0,7673
103,32,0.7499298409644735,0,1e-4,1,1,33980
103,33,0.37492984096447346,0,1e-4,0,1,6017
103,34,0.7499298409644735,0.5,0.5,1,0,7317
103,35,0.24992984096447346,0,1e-4,0,1,2634
103,37,0.7499298409644735,0,1e-4,1,1,8547
103,42,0.7499298409644735,0.99999,0.25,1,0,4976
103,45,0.37492984096447346,0.5,0.25,0,1,31435
103,48,0.8749298409644735,0.5,0.25,1,0,3854
103,49,0.7499298409644735,0.5,0.5,1,1,8542
103,52,0.8749298409644735,0.99999,0.5,1,1,3222
103,55,0.24992984096447346,0.5,0.25,0,0,51771
103,56,0.7499298409644735,0,1e-4,0,1,4434
103,58,0.6249298409644735,0.99999,0.25,0,1,2508
103,59,0.49992984096447346,0.5,0.25,0,1,1826
103,60,0.6249298409644735,0,1e-4,0,1,1613
103,61,0.8749298409644735,0.99999,0.5,1,1,2392
103,62,0.6249298409644735,0,1e-4,1,0,1864
103,63,0.12492984096447346,0,1e-4,0,0,9652
103,66,0.8749298409644735,0,1e-4,1,1,11658
103,67,0.8749298409644735,0.99999,0.25,1,1,4123
103,69,0.37492984096447346,0,1e-4,0,1,2102
103,70,0.12492984096447346,0.99999,0.75,0,0,3372
103,73,0.7499298409644735,0.5,0.75,1,1,1994
103,74,0.8749298409644735,0,1e-4,1,1,6564
103,75,0.12492984096447346,0,1e-4,0,1,1920
103,78,0.24992984096447346,0.5,0.75,0,0,2755
103,79,0.12492984096447346,0.99999,0.5,0,0,1077
103,80,0.37492984096447346,0.5,0.5,0,0,12454
103,84,0.7499298409644735,0.99999,0.5,1,1,3170
103,85,0.49992984096447346,0.99999,0.5,1,1,7026
103,86,0.49992984096447346,0.99999,0.75,1,0,13136
103,88,0.37492984096447346,0.99999,0.5,0,1,13914
103,89,0.37492984096447346,0,1e-4,0,1,636
103,90,0.12492984096447346,0.99999,0.25,0,1,3008
103,92,0.12492984096447346,0.5,0.5,0,1,1713
103,93,0.6249298409644735,0.5,0.5,1,0,7988
103,99,0.49992984096447346,0,1e-4,0,0,10635
103,102,0.24992984096447346,0,1e-4,0,0,25094
103,104,0.37492984096447346,0.99999,0.25,0,1,2029
103,2,0.12492984096447346,0.99999,0.9999,1,1,16609
103,4,0.12492984096447346,0.5,0.25,0,1,19897
103,7,0.6249298409644735,0.5,0.75,1,1,15828
103,8,0.24992984096447346,0.99999,0.75,0,0,10554
103,10,0.6249298409644735,0.5,0.25,0,0,72969
103,12,0.8749298409644735,0.5,0.75,1,1,11710
103,14,0.24992984096447346,0.5,0.5,0,0,11185
103,15,0.37492984096447346,0.5,0.75,0,0,8235
103,21,0.12492984096447346,0.5,0.25,0,1,2413
103,23,0.24992984096447346,0.5,0.9999,0,1,3662
103,24,0.8749298409644735,0.5,0.25,1,1,4712
103,28,0.6249298409644735,0.99999,0.9999,1,1,3982
103,30,0.37492984096447346,0.99999,0.9999,1,1,2004
103,31,0.7499298409644735,0.5,0.9999,1,1,1690
103,36,0.49992984096447346,0.5,0.5,0,0,3539
103,38,0.49992984096447346,0.5,0.9999,1,1,12335
103,39,0.12492984096447346,0.5,0.75,0,1,2746
103,40,0.12492984096447346,0.5,0.75,0,1,5747
103,41,0.49992984096447346,0.99999,0.25,0,0,7252
103,43,0.12492984096447346,0.99999,0.5,0,1,3947
103,44,0.49992984096447346,0.5,0.9999,1,1,32910
103,46,0.24992984096447346,0.5,0.9999,1,0,23081
103,47,0.8749298409644735,0.5,0.75,1,0,21901
103,50,0.7499298409644735,0.5,0.9999,1,1,16112
