RedChoice,Self,Others,Group,SubjectPair,RT,Trial,Other1,Other2,Other3,Other4,Other1rt,Other2rt,Other3rt,Other4rt,Other1confidence,Other2confidence,Other3confidence,Other4confidence,OptimalChoice,OthersConfidenceRed,OthersConfidenceGreen,Subject,RTscaled
1,0.625,3898.5,1,101,3542,54,1,1,0,0,776,261,1738,2050,0.5,0.5,1,1,0,0.5,1,101,0.6574928515412339
0,0.125,3898.5,1,101,2014,92,1,1,0,1,1867,1842,2046,2241,1,1,1,1,0,1,1,101,-0.8252817483623417
1,0.75,3898.5,1,101,1878,62,1,1,0,1,521,199,1771,622,0.5,0.5,1,0.5,1,0.5,1,101,0.8183996542050922
1,0.875,3898.5,1,101,1797,56,1,1,0,0,372,133,1682,1903,0.5,0.5,1,1,0,0.5,1,101,0.8262322569789942
0,0.125,3898.5,1,101,1910,78,1,0,0,0,1957,1707,2131,1815,1,1,1,1,1,1,1,101,-0.8343039420913966
0,0.375,3898.5,1,101,1747,38,0,0,0,0,1710,2363,2049,2465,1,1,1,1,1,1,1,101,-0.8484444957244344
0,0.25,3898.5,1,101,1903,30,1,1,1,1,2187,2290,1688,2362,1,1,1,1,0,1,1,101,-0.8349112051308522
0,0.375,3898.5,1,101,2250,24,1,1,0,1,2337,1704,439,2183,1,1,0.5,1,0,1,0.5,101,-0.8048083087464095
1,0.75,3898.5,1,101,2048,76,0,0,0,0,2220,1895,1826,1974,1,1,1,1,0,1,1,101,0.8019608582598665
1,0.625,3898.5,1,101,2789,82,1,0,0,0,2044,2483,1858,2244,1,1,1,1,0,1,1,101,0.7303070476986169
0,0.375,3898.5,1,101,2265,52,1,0,1,0,318,2093,549,1927,0.5,1,0.5,1,0,0.5,1,101,-0.803507030804719
0,0.5,3898.5,1,101,11413,32,1,1,1,1,2162,2085,2007,1761,1,1,1,1,0,1,1,101,-0.009900990099009799
1,0.5,3898.5,1,101,10239,4,0,0,0,0,512,56,341,334,0.5,0.5,0.5,0.5,0,1,0.5,101,0.00990099009900991
1,0.875,3898.5,1,101,2309,70,1,1,1,1,542,188,424,778,0.5,0.5,0.5,0.5,1,0.5,1,101,0.7767224715439607
1,0.875,3898.5,1,101,1786,42,0,0,0,0,2045,1778,2079,1784,1,1,1,1,0,1,1,101,0.8272959437754499
1,0.875,3898.5,1,101,1890,28,1,1,1,0,2392,2460,1786,508,1,1,1,0.5,1,1,0.5,101,0.8172392686089587
0,0.5,3898.5,1,101,6571,18,0,1,0,1,583,2105,779,2073,0.5,1,0.5,1,1,1,0.5,101,-0.4299535096767365
0,0.375,3898.5,1,101,2585,94,1,0,1,1,2500,2453,1836,2193,1,1,1,1,0,1,1,101,-0.7757464347153193
0,0.125,3898.5,1,101,1862,22,1,1,1,0,2353,2297,1915,530,1,1,1,0.5,1,1,0.5,101,-0.8384680315048065
0,0.375,3898.5,1,101,2187,10,0,0,0,1,490,680,198,1718,0.5,0.5,0.5,1,1,1,0.5,101,-0.8102736761015101
1,0.75,3898.5,1,101,2104,48,1,0,0,0,442,2418,1850,2403,0.5,1,1,1,0,0.5,1,101,0.7965457254779096
1,0.5,3898.5,1,101,4140,88,1,0,1,0,2168,2022,2478,1663,1,1,1,1,0,1,1,101,0.5996669693339096
0,0.25,3898.5,1,101,1814,86,0,0,1,1,2304,2389,1958,2175,1,1,1,1,0,1,1,101,-0.8426321209182164
0,0.125,3898.5,1,101,1862,36,0,0,0,0,2036,1709,1894,2016,1,1,1,1,1,1,1,101,-0.8384680315048065
