ID,BotStrategyN,Role,player.tom_role,Choice,BotChoice,Payoff,BotPayoff,BotParameters,Trial,BotStrategy
Oxford,-2,1,0,1,1,-1,1,WSLS,1,-2
Hamburg,-1,0,1,0,0,1,-1,Random Bias 0.6 Head,1,-1
Paris,-2,0,1,0,1,-1,1,WSLS,1,-2
Florence,2,1,0,0,0,-1,1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0, 'p_op_var0': 0, 'p_self': nan}}, 1: {'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0, 'p_op_var0': 0, 'p_self': nan}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0]), 'param_mean': array([[0., 0., 0.]]), 'param_var': array([[0., 0., 0.]]), 'gradient': array([[0., 0., 1.]]), 'p_self': nan}}}, 'own_states': {'p_k': array([0.5, 0.5]), 'p_op_mean': array([0, 0]), 'param_mean': array([[0., 0., 0.],        [0., 0., 0.]]), 'param_var': array([[0., 0., 0.],        [0., 0., 0.]]), 'gradient': array([[0., 0., 1.],        [0., 0., 1.]]), 'p_self': 0.5}}",1,2
Milan,-2,0,1,1,0,-1,1,WSLS,1,-2
Dublin,2,1,0,1,0,1,-1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0, 'p_op_var0': 0, 'p_self': nan}}, 1: {'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0, 'p_op_var0': 0, 'p_self': nan}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0]), 'param_mean': array([[0., 0., 0.]]), 'param_var': array([[0., 0., 0.]]), 'gradient': array([[0., 0., 1.]]), 'p_self': nan}}}, 'own_states': {'p_k': array([0.5, 0.5]), 'p_op_mean': array([0, 0]), 'param_mean': array([[0., 0., 0.],        [0., 0., 0.]]), 'param_var': array([[0., 0., 0.],        [0., 0., 0.]]), 'gradient': array([[0., 0., 1.],        [0., 0., 1.]]), 'p_self': 0.5}}",1,2
Cannes,-1,1,0,0,0,-1,1,Random Bias 0.6 Head,1,-1
Madrid,1,0,1,0,1,-1,1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0, 'p_op_var0': 0, 'p_self': nan}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0]), 'param_mean': array([[0., 0., 0.]]), 'param_var': array([[0., 0., 0.]]), 'gradient': array([[0., 0., 1.]]), 'p_self': 0.5}}",1,1
Oslo,0,1,0,0,1,1,-1,"{'opponent_states': {}, 'own_states': {'p_op_mean0': 0, 'p_op_var0': 0, 'p_self': 0.5}}",1,0
Istanbul,0,0,1,0,1,-1,1,"{'opponent_states': {}, 'own_states': {'p_op_mean0': 0, 'p_op_var0': 0, 'p_self': 0.5}}",1,0
Brussels,2,1,0,1,1,-1,1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0, 'p_op_var0': 0, 'p_self': nan}}, 1: {'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0, 'p_op_var0': 0, 'p_self': nan}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([0]), 'param_mean': array([[0., 0., 0.]]), 'param_var': array([[0., 0., 0.]]), 'gradient': array([[0., 0., 1.]]), 'p_self': nan}}}, 'own_states': {'p_k': array([0.5, 0.5]), 'p_op_mean': array([0, 0]), 'param_mean': array([[0., 0., 0.],        [0., 0., 0.]]), 'param_var': array([[0., 0., 0.],        [0., 0., 0.]]), 'gradient': array([[0., 0., 1.],        [0., 0., 1.]]), 'p_self': 0.5}}",1,2
Amsterdam,-1,1,0,1,1,-1,1,Random Bias 0.6 Head,1,-1
